Date,Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Target_Group
2022-05-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),24.0,General traffic,NA
2022-05-11,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-12,NA,NA,NA,NA,NA,NA,Get Approved,3.0,General traffic,NA
2022-05-12,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-05-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),26.0,General traffic,NA
2022-05-12,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-05-13,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-05-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),13.0,General traffic,NA
2022-05-13,NA,NA,NA,NA,NA,NA,Start Closing More,8.0,General traffic,NA
2022-05-14,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-05-14,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-14,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-15,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-15,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-05-15,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),17.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),27.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Start Closing More,9.0,General traffic,NA
2022-05-18,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3.0,General traffic,NA
2022-05-18,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),20.0,General traffic,NA
2022-05-18,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-18,NA,NA,NA,NA,NA,NA,Start Closing More,6.0,General traffic,NA
2022-05-19,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-19,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),23.0,General traffic,NA
2022-05-19,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-19,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-05-20,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-20,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),29.0,General traffic,NA
2022-05-20,NA,NA,NA,NA,NA,NA,Start Closing More,5.0,General traffic,NA
2022-05-21,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-22,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-23,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-05-23,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),24.0,General traffic,NA
2022-05-23,NA,NA,NA,NA,NA,NA,Start Closing More,7.0,General traffic,NA
2022-05-24,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-24,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2.0,General traffic,NA
2022-05-24,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),26.0,General traffic,NA
2022-05-24,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-24,NA,NA,NA,NA,NA,NA,Start Closing More,3.0,General traffic,NA
2022-05-25,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-25,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3.0,General traffic,NA
2022-05-25,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),17.0,General traffic,NA
2022-05-25,NA,NA,NA,NA,NA,NA,Start Closing More,8.0,General traffic,NA
2022-05-26,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-26,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),18.0,General traffic,NA
2022-05-26,NA,NA,NA,NA,NA,NA,Start Closing More,7.0,General traffic,NA
2022-05-27,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),8.0,General traffic,NA
2022-05-27,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-27,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-28,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-05-28,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-29,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-05-30,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Get Approved,3.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),5.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),25.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Start Closing More,6.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
