Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Days_Max_Date,Unnamed: 12,Goal.1
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,165,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,151,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,140,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,208,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,189,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,188,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,210,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,189,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,158,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,196,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,187,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,172,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,136,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,133,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,89,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,83,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,70,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,61,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,60,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,60,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,61,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,55,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,40,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,25,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,19,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,4,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,186,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,146,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,166,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,201,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,200,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,188,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,158,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,144,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,130,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,125,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,124,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,109,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,98,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,87,NA,NA
