Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
2022-08-03,3,UnfairAdvantage,NoDTI,Facebook,Single image,Campaign,1,0,0.0
2022-09-19,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,2,0,0.0
2022-10-23,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,77,0,1246.99999999999
2022-08-19,5,UnfairAdvantage,1099,Domain Display,Single image,Campaign,6,0,46.9999999999999
2022-08-17,3,CloserTwins,Faceoff,Domain Display,NA,Campaign,3,0,0.0
2022-10-05,3,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,8,0,0.0
2022-07-24,4,CloseFaster,FasterAll,User ID Display,NA,Campaign,5,0,0.0
2022-10-15,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,4,0,0.0
2022-10-31,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,17,0,110.0
2022-07-02,2,CloserTwins,Cutdown1A,Facebook,Video,Campaign,1,0,0.0
2022-09-29,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,5,0,0.0
2022-04-12,6,Trade Media Ads,Rate Lock,Trade Media,Nmn,Campaign,1,0,0.0
2022-04-27,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-08-14,4,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,3,0,0.0
2022-07-15,5,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,2,0,0.0
2022-05-23,4,CloseFaster,MoreAll,Domain Display,NA,Campaign,1,0,0.0
2022-08-25,4,domain,ad1,LinkedIn,NA,Campaign,83,0,233.0
2022-09-12,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,3,0,0.0
2022-07-31,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,0.0
2022-07-31,NA,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,193.0
2022-07-27,4,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,0.0
2022-10-07,3,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-07-10,4,CloserTwins,Faster,Domain Display,NA,Campaign,3,0,0.0
2022-09-22,4,CloseFaster,FasterAll,User ID Display,NA,Campaign,19,0,76.0
2022-05-09,5,CloseFaster,MoreAll,Domain Display,NA,Campaign,4,0,0.0
2022-06-11,2,CloserTwins,ShapeUp,Facebook,Video,Campaign,1,0,0.0
2022-10-04,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,18,0,0.0
2022-09-22,4,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,19.0
2022-09-29,5,CloseFaster,FasterReg,User ID Display,NA,Campaign,27,26,530.0
2022-07-08,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0.0
2022-06-08,1,UnfairAdvantage,1page,Facebook,Single image,Campaign,1,0,0.0
2022-06-19,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,12.0
2022-10-01,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,11,0,2.99999999999999
2022-09-18,3,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,10,0,0.0
2022-04-25,2,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0.0
2022-04-28,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,3,0,518.0
2022-05-18,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,3,0,27.0
2022-06-21,5,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,3,0,0.0
2022-05-16,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,3,0,0.0
2022-05-18,2,UnfairAdvantage,NoDTI,Facebook,Single image,Campaign,1,0,0.0
2022-07-04,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,7,0,0.0
2022-05-21,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-07-06,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,2,0,0.0
2022-07-15,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,9,0,93.9999999999996
2022-07-26,5,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,4,0,0.0
2022-05-17,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,5,0,0.0
2022-09-23,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-09-27,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,6,0,0.0
2022-08-26,5,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0.0
2022-08-23,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,3,0,0.0
2022-05-07,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0.0
2022-10-04,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,5,0,0.0
2022-08-21,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0.0
2022-10-09,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,5,0,0.0
2022-05-22,4,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,3,0,0.0
2022-06-03,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,3,0,0.0
2022-08-13,3,CloseFaster,FasterAll,User ID Display,NA,Campaign,4,0,0.0
2022-10-14,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-10-14,1,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0.0
2022-06-01,4,CloserTwins,Faster,Domain Display,NA,Campaign,6,0,7.99999999999998
2022-09-18,4,CloseFaster,FasterAll,User ID Display,NA,Campaign,32,0,0.0
2022-06-29,4,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-09-12,3,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,15,0,0.0
2022-05-09,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,4,0,0.0
2022-09-23,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,10,0,0.0
2022-05-10,5,CloserTwins,Paperwork,LinkedIn,Video,Campaign,1,0,0.0
2022-05-06,NA,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,54.0
2022-07-27,2,UnfairAdvantage,1page,Facebook,Single image,Campaign,1,0,0.0
2022-10-09,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-10-16,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,14,0,0.0
